time,open,high,low,close,tick_volume,spread,real_volume,returns,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,position,strategy_returns,cumulative,total_commission
2025-10-02 03:30:00,3858.04,3859.86,3857.08,3858.3,832,15,0,9.331404843004876e-05,43.07207837648653,4.563500000000045,0.7507732297973211,hold,BEARISH,1.0,,,-1.0,-0.000359453630481843,1.0011599999999998,
2025-10-02 03:45:00,3858.3,3861.24,3855.81,3856.04,968,6,0,-0.000585750200865709,37.525286581253425,4.604000000000042,0.7525581091242011,hold,BEARISH,1.0,,,-1.0,0.002257381437532624,1.00342,
2025-10-02 04:00:00,3856.0,3860.28,3852.86,3859.72,1153,8,0,0.0009543469466084531,44.169930702017844,4.747000000000048,0.7685458018974909,hold,BEARISH,1.0,,,-0.6666666666666666,-0.00035846900522973346,1.0030603050307725,
2025-10-02 04:15:00,3859.68,3864.89,3858.09,3863.81,999,13,0,0.0010596623589276266,47.625777275296926,4.936500000000047,0.7900422508162163,hold,NEUTRAL,1.0,,,0.0,-0.0041792495112410455,0.9988682657412273,
2025-10-02 04:30:00,3863.84,3865.08,3862.98,3863.2,973,13,0,-0.0001578752578413889,50.25350432448498,4.788000000000034,0.7710641587219843,hold,BULLISH,1.0,,,0.0,0.0,0.9988682657412273,
2025-10-02 04:45:00,3863.21,3865.07,3862.54,3865.01,802,7,0,0.00046852350383108643,57.592592592592794,4.685000000000036,0.7881367337325941,hold,BULLISH,1.0,,,0.0,0.0,0.9988682657412273,
2025-10-02 05:00:00,3865.04,3869.96,3861.68,3869.86,977,14,0,0.0012548479822820369,60.28901734104098,4.725500000000034,0.7966653179580598,hold,BULLISH,1.0,,,0.0,0.0,0.9988682657412273,
2025-10-02 05:15:00,3869.63,3869.97,3862.4,3864.04,911,14,0,-0.0015039303747422794,52.372583479788915,4.958000000000015,0.8502538071066005,buy,BULLISH,1.0,3856.603,3878.914,1.0,0.0011330165323981678,1.0,
2025-10-02 05:30:00,3863.87,3865.35,3863.16,3864.99,803,9,0,0.00024585666815046814,53.11418685121102,4.955500000000029,0.8700881413070234,buy,BULLISH,1.0,3857.5567499999997,3879.8565,1.0,0.0009499999999997844,1.0009499999999998,
2025-10-02 05:45:00,3864.92,3867.49,3864.27,3866.23,720,5,0,0.000320828773166415,50.7144712912447,4.989500000000021,0.885982669223669,buy,BULLISH,1.0,3858.74575,3881.1985,1.0,0.0012388231180380238,1.0021900000000001,
2025-10-02 06:00:00,3866.12,3869.04,3865.11,3868.98,792,12,0,0.0007112872229535494,61.06388812722786,4.717000000000008,0.8505228993869464,buy,BULLISH,1.0,3861.9045,3883.131,1.0,0.00274399066045361,1.00494,
2025-10-02 06:15:00,3869.06,3869.4,3866.92,3867.2,753,15,0,-0.0004600695790621945,55.25063007560893,4.600500000000011,0.8429838384578746,hold,NEUTRAL,1.0,,,1.0,-0.0017712500248773244,1.0031599999999998,
2025-10-02 06:30:00,3867.14,3867.21,3863.9,3864.68,754,12,0,-0.000651634257343825,59.409816320385154,4.587500000000023,0.856164383561647,buy,BULLISH,1.0,3857.79875,3878.4425,1.0,-0.0025120618844450826,1.00064,
